Sampling Period,Sampling Location,Radionuclide,Result (pCi/m3),Counting Error (pCi/m3),Minimum Detectable Activity 95% (pCi/m3,Total Effective Dose Equivalent (millirem),NRC Effluent Air Conc. Limit (pCi/m3)
2013Q1,Humboldt Bay,Beryllium-7,0.0605,0.00171,0.00202,0.000100833,30000
2013Q1,Humboldt Bay,Potassium-40,0.00201,0.000448,0.002,0.0001675,600
2013Q1,Humboldt Bay,Niobium-95,-0.0000663,0.000118,0.000339,0,2000
2013Q1,Humboldt Bay,Zirconium-95,0.000235,0.000125,0.000302,0,400
2013Q1,Humboldt Bay,Ruthenium-103,-0.0000952,0.000101,0.000248,0,900
2013Q1,Humboldt Bay,Ruthenium-106,0.000105,0.000305,0.000795,0,20
2013Q1,Humboldt Bay,Cesium-137,0.0000277,0.0000254,0.0000803,0,200
2013Q1,Humboldt Bay,Cerium-141,0.0000301,0.000157,0.000435,0,800
2013Q1,Humboldt Bay,Cerium-144,-0.000142,0.000166,0.00045,0,20
2013Q1,"Richmond, CA",Beryllium-7,0.103,0.00311,0.00344,0.000171667,30000
2013Q1,"Richmond, CA",Potassium-40,-0.00417,0.000654,0.00321,0,600
2013Q1,"Richmond, CA",Niobium-95,0.000102,0.000159,0.000458,0,2000
2013Q1,"Richmond, CA",Zirconium-95,0.000326,0.000166,0.000391,0,400
2013Q1,"Richmond, CA",Ruthenium-103,0.000123,0.000116,0.000349,0,900
2013Q1,"Richmond, CA",Ruthenium-106,-0.000134,0.000379,0.00104,0,20
